"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"903523431596965889","","","2017-09-01 07:42:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","【Mac】【Python 3.6.1】mecab-python3インストール https://t.co/NHTNnkgNjB","","","","http://tokyo-engineer.com/python3-6-1-mecab-python3-install/"
"903422453157838848","","","2017-09-01 01:01:12 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","ハチ公口とか言われてもわかんねぇよ！東と西どちらだ","","","",""
"903420978427858944","","","2017-09-01 00:55:20 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","函館組渋谷に集結しすぎでしょ","","","",""
"903420761372688386","","","2017-09-01 00:54:28 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @okumuratorucc: https://t.co/CGgH6aqjUA","903164754436341760","383106621","2017-08-31 07:57:12 +0000","https://twitter.com/okumuratorucc/status/903164754436341760/photo/1,https://twitter.com/okumuratorucc/status/903164754436341760/photo/1,https://twitter.com/okumuratorucc/status/903164754436341760/photo/1,https://twitter.com/okumuratorucc/status/903164754436341760/photo/1,https://twitter.com/okumuratorucc/status/903164754436341760/photo/1,https://twitter.com/okumuratorucc/status/903164754436341760/photo/1"
"903419851267481600","","","2017-09-01 00:50:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ayafmy: 地元チェーン店に行ったらジャスコ風ようこそジャパリパークへが流れてた https://t.co/Qs31uOzi7g","903320679386275840","84863232","2017-08-31 18:16:47 +0000","https://twitter.com/ayafmy/status/903320679386275840/video/1,https://twitter.com/ayafmy/status/903320679386275840/video/1"
"903418654552817664","","","2017-09-01 00:46:06 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","頑張って一本前に乗るべきだった","","","",""
"903418603612934146","","","2017-09-01 00:45:54 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","ちょっと風呂にあずましく入りすぎた。渋谷駅到着してからビルに向かうまで5分しかないようだ","","","",""
"903418008491630592","","","2017-09-01 00:43:32 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @ayamy_garubinu: ミクちゃん10周年おめでとうございます🎂🎁🎉🍾💝"
#初音ミク10周年 #初音ミク生誕祭2017 https://t.co/eO0MPk8eWr","903201583265005568","214708125","2017-08-31 10:23:32 +0000","https://twitter.com/ayamy_garubinu/status/903201583265005568/photo/1,https://twitter.com/ayamy_garubinu/status/903201583265005568/photo/1"
"903417673991598080","","","2017-09-01 00:42:12 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @tmreeeeep: 会社のビル近辺でネズミが出る問題、ビル内のイタリアンと隣の蕎麦屋の飲食店組が〝どっちからネズミが発生してるか〟で争ってるらしいんだけど、うちの社長の言った「まぁ〜〜俺がネズミなら昼は蕎麦で夜にイタリアンだな！！」がじわじわきてる","903103856401309696","4399397112","2017-08-31 03:55:12 +0000",""
"903417552394522625","","","2017-09-01 00:41:43 +0000","<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane Android</a>","RT @Tsuka203: 英人の同僚がご飯食べてたから、仏人にBon-appetitって英語でなんて言うの？って聞いたらおしゃべりクソフランス人が「直訳でHave a nice mealだけどイギリスにはnice mealなんて存在しねーからその言葉もねーよ笑」とか言ったせい…","902861442646368256","314559966","2017-08-30 11:51:56 +0000",""
